用户ID,好坏客户,年龄,负债率,月收入,家属数量
1,1,45,0.802982129,9120,2
2,0,40,0.121876201,2600,1
3,0,38,0.085113375,3042,0
4,0,30,0.036049682,3300,0
5,0,49,0.024925695,63588,0
6,0,74,0.375606969,3500,1
7,0,57,5710,,0
8,0,39,0.209940017,3500,0
9,0,27,46,,
10,0,57,0.606290901,23684,2
11,0,30,0.30947621,2500,0
12,0,51,0.53152876,6501,2
13,0,46,0.298354075,12454,2
14,1,40,0.382964747,13700,2
15,0,76,477,0,0
16,0,64,0.209891754,11362,2
17,0,78,2058,,0
18,0,53,0.18827406,8800,0
19,0,43,0.527887839,3280,2
20,0,25,0.065868263,333,0
21,0,43,0.430046338,12300,0
22,1,38,0.475841386,3000,2
23,0,39,0.241103559,2500,0
24,0,32,0.085512189,7916,0
25,0,58,0.241621845,2416,0
26,1,50,1.595253368,4676,1
27,0,58,0.097672186,8333,0
28,0,69,0.042383047,2500,1
29,0,24,0.011761247,3400,0
30,0,58,0.436102527,5500,0
31,0,28,0.155201143,4200,0
32,0,24,0.472703063,750,0
33,0,62,977,,0
34,0,57,0.313812313,7000,0
35,0,42,0.257731959,2230,0
36,0,64,0.073538769,11000,0
37,0,50,0.567858035,4000,1
38,0,75,0.134078212,3400,1
39,0,26,0.00999001,1000,0
40,0,52,0.808340474,3500,0
41,0,41,0.539554464,5700,0
42,0,81,75,,0
43,0,31,0.048211004,9250,1
44,0,28,0.170125614,3661,1
45,0,68,1687.5,1,0
46,0,70,0.177787036,16800,2
47,0,62,0.011167837,3133,0
48,0,31,0.689370485,1937,0
49,0,38,0.393662026,13000,2
50,0,70,0.256339661,6900,0
51,0,73,3095,0,0
52,1,31,0.824725092,3000,1
53,0,62,0,,0
54,0,51,0.306381499,5750,0
55,0,29,0.008064516,2231,0
56,0,55,0.073147745,13793,0
57,0,46,0.016921775,13000,1
58,0,64,0.351258937,3216,0
59,0,43,2477,,2
60,0,35,0.261609907,5813,2
61,0,58,0.241135663,7783,0
62,0,69,0.00803428,5600,0
63,0,72,1720,,0
64,0,46,1.051397656,3326,2
65,0,60,0.549877805,4500,0
66,0,67,0.540983607,3720,0
67,0,55,0.316416365,7723,1
68,0,27,0.681045752,764,0
69,0,31,0.111444278,2000,2
70,0,64,0.16106176,9455,3
71,0,36,0.262611807,8384,1
72,0,67,1824,,0
73,0,56,0.369590815,6793,0
74,0,31,3162,0,1
