商品ID,类别ID,门店编号,单价,销量,成交时间,订单ID
30006206,915000003,CDNL,25.23,0.328,2017/1/3 9:56,20170103CDLG000210052759
30163281,914010000,CDNL,2,2,2017/1/3 9:56,20170103CDLG000210052759
30200518,922000000,CDNL,19.62,0.23,2017/1/3 9:56,20170103CDLG000210052759
29989105,922000000,CDNL,2.8,2.044,2017/1/3 9:56,20170103CDLG000210052759
30179558,915000100,CDNL,47.41,0.226,2017/1/3 9:56,20170103CDLG000210052759
30022232,960000000,CDNL,0.3,1,2017/1/3 9:56,20170103CDLG000210052759
30179520,915000100,CDNL,77.52,0.086,2017/1/3 9:56,20170103CDLG000210052759
30184351,915000106,CDNL,15.57,0.42,2017/1/3 9:56,20170103CDLG000210052759
30184351,915000106,CDNL,15.58,0.47,2017/1/3 9:56,20170103CDLG000210052759
29989059,922000003,CDNL,1.98,1.212,2017/1/3 9:56,20170103CDLG000210052759
30214802,925090000,CDNL,27.43,1.455,2017/1/3 9:57,20170103CDLG000210052760
30006343,915030400,CDNL,3.98,2.294,2017/1/3 9:57,20170103CDLG000210052760
30214814,925090000,CDNL,33.43,1.568,2017/1/3 9:57,20170103CDLG000210052760
30031870,915030401,CDNL,8.17,2.138,2017/1/3 9:57,20170103CDLG000210052760
29989059,922000003,CDNL,1.98,1.566,2017/1/3 9:57,20170103CDLG000210052760
30077387,930000204,CDNL,18.52,1,2017/1/3 9:59,20170103CDLG000210052761
30008381,912060301,CDNL,19.44,0.434,2017/1/3 9:59,20170103CDLG000210052761
29989153,923000006,CDNL,7.6,1.165,2017/1/3 9:59,20170103CDLG000210052761
30008276,911010501,CDNL,15.43,0.487,2017/1/3 9:59,20170103CDLG000210052761
29991814,930000204,CDNL,19.52,1,2017/1/3 9:59,20170103CDLG000210052761
30022232,960000000,CDNL,0.3,1,2017/1/3 9:59,20170103CDLG000210052761
30008274,911010501,CDNL,27.21,0.877,2017/1/3 9:59,20170103CDLG000210052761
